ID,WikiProject,Talkpage id,Revision,User id,Code,Title,Message
1,WikiProject_United_States,6312558,449214958,1108424,REQ-DISCUSSION,[[List of American gentlemen's clubs]],"\n\nYour attention is called to [[Talk:List_of_American_gentlemen%27s_clubs#Requested_move|a requested change in name of the above article]]. Sincerely, [[User:GeorgeLouis|GeorgeLouis]] ([[User talk:GeorgeLouis|talk]]) 22:37, 8 September 2011 (UTC)"
2,WikiProject_United_States,6312558,443582003,575347,FYI,Arizona,"\n\nSupport is fine with me. [[User:Raymie|Raymie]] ([[User talk:Raymie|t]] Ã¢&#x20AC;Ë˜ [[Special:Contributions/Raymie|c]]) 22:53, 7 August 2011 (UTC)"
3,WikiProject_United_States,6312558,495340474,0,REQ-OPINION,Question concerning coverage,"\n\nI had a question about the WikiProjects supported by the WPUS banner. I see that certain states are supported by the banner but not all. Why are all 50 states not covered? [[Special:Contributions/64.6.124.31|64.6.124.31]] ([[User talk:64.6.124.31|talk]]) 19:11, 31 May 2012 (UTC)"
4,WikiProject_United_States,6312558,480628595,9013713,REQ-COORD-NONART,Newsletter,"\n\nI recommend that you send out the March newsletter. A remembrance of your (I\'m a non-member) former members contributions would be most fitting. Also a call for volunteers would be a good idea. If someone writes it here [[Wikipedia:WikiProject United States/Newsletter/February 2011]] I can send it out with Edwardsbot. Let\'s not let him fade away into oblivion without thanks from the group he loved. &amp;ndash; [[user:Lionelt|Lionel]] &lt;sup&gt;([[user talk:Lionelt|talk]])&lt;/sup&gt; 08:31, 7 March 2012 (UTC)"
5,WikiProject_United_States,6312558,460299674,4562410,REQ-COORD-NONART,Need some members to help out,"\n\nDue in large part to some of the new Wikipedia upgrades (it takes several minutes to load my Watchlist) and a very large increase of things in my real life I am not going to be able to participate as much as I used too. I have also grown a bit tired of the bickering and general attitude that many editors are displaying that they would rather do things individually than to collaborate and work together. All of these just make it too hard for me to edit and do the things that I think need to be done to help the project.\n\nWith that said if the members of the project want to continue to have a working project with a collaboration and newsletter then some folks need to come forward and make that happen. I just don\'t have the time to wait 5 minutes for WP to load a page and then have to fight about everything. If anyone has questions or needs assistance I would be glad to help out but until WP can fix the screwy new updates there\'s not much I can do. --[[User:Kumioko|Kumioko]] ([[User talk:Kumioko|talk]]) 15:35, 12 November 2011 (UTC)"
6,WikiProject_Deletion_sorting,13908463,474407923,754619,FYI,Notifying AFDs,"\n\nI have just been [[WP:BOLD]] and modified both {{tl|Deletionlist}} and {{tl|Deletionlist-country}} to slightly strengthen the advice which appears at the top of each deletion sorting list regarding notifying an AFD discussion about its inclusion in a delsort list.\n\nThe guidance used to say: &quot;You can also tag the AfD by adding \'\'\'&lt;nowiki&gt;{{subst:delsort|Listname|~~~~}}&lt;/nowiki&gt;\'\'\'&quot;.\n\nHowever, the use of delsort at AFD now seems to be nearly universal, and so it seems right to me that its usage should be encouraged.  I have therefore strengthened the wording from &quot;can&quot; to &quot;should&quot;, so that the guidance now reads: &quot;You can also tag the AfD by adding \'\'\'&lt;nowiki&gt;{{subst:delsort|Listname|~~~~}}&lt;/nowiki&gt;\'\'\'&quot;.\n\nI hope this is uncontroversial, but thought it best to point out the change just in case. --[[User:BrownHairedGirl|&lt;span style=&quot;color:#996600; cursor: not-allowed;&quot;&gt;Brown&lt;/span&gt;HairedGirl]] &lt;small&gt;[[User_talk:BrownHairedGirl|(talk)]] Ã¢&#x20AC;Ë˜ ([[Special:Contributions/BrownHairedGirl|contribs]])&lt;/small&gt; 15:24, 1 February 2012 (UTC)"
7,WikiProject_Deletion_sorting,13908463,443680080,7230848,REQ-DISCUSSION,Discussion notification,"\n\nGreetings.  A discussion related to this WikiProject has been opened at [[Wikipedia talk:Articles for deletion#Deletion sorting idea]].  Your thoughts are most welcome, [[User:Arbitrarily0|&lt;span style=\'color:black\'&gt;&lt;b&gt;&lt;u&gt;&lt;i&gt;&lt;big&gt;A&lt;/big&gt;rbitrarily&lt;big&gt;0&lt;/big&gt;&lt;/i&gt;&lt;/u&gt;&lt;/b&gt;&lt;/span&gt;]]&amp;nbsp;&lt;sup&gt;&lt;b&gt;([[User talk:Arbitrarily0|&lt;span style=&quot;font-variant: small-caps; color:#FF4500;&quot;&gt;talk&lt;/span&gt;]])&lt;/b&gt;&lt;/sup&gt; 13:49, 8 August 2011 (UTC)"
8,WikiProject_Deletion_sorting,13908463,442163256,1992122,REQ-OPINION,DelSorting Issues,"\n\nI have a delsorting script that allows me to click on a tab, bring up a javascript menu, and automagically delsort incoming AfDs.  However, it no longer appears to work.  Clicking on the tab has no functionality.  My script hasn\'t been changed at all-- has there been some changes within XfD that has caused these problems? [[User:I Jethrobot|&lt;font color=&quot;green&quot; face=&quot;Corbel&quot;&gt;&lt;b&gt;I, Jethrobot&lt;/b&gt;&lt;/font&gt;]][[User talk:I Jethrobot| &lt;sup&gt;drop me a line&lt;/sup&gt;]] &lt;small&gt;(note: not a [[WP:BOT|bot]]!)&lt;/small&gt; 06:47, 30 July 2011 (UTC)"
9,WikiProject_Deletion_sorting,13908463,452847877,11127842,REQ-OPINION,Ottoman Empire,"\n\nI think that Ottoman Empire should have its subpage within [[Wikipedia:WikiProject Deletion sorting]].--[[User:Antidiskriminator|Antidiskriminator]] ([[User talk:Antidiskriminator|talk]]) 09:42, 28 September 2011 (UTC)"
10,WikiProject_Deletion_sorting,13908463,451030855,417165,REQ-OPINION,New deletion sorting categories,"\n\nI\'ve been deletion sorting for a few months now and have probably sorted many hundreds of articles into categories now. It\'s a relatively low-stress and enjoyable [[Wikipedia:WikiGnome|gnoming]] task, but I think after all this, I feel like there are a few categories that we could add or change.\n\nOff the top of my head:\n* Motorsport: for F1 and other motorsport\n* Books: for music, we have Bands and musicians, Music and Albums and songs, but for literature and other forms of writing, we don\'t have an equivalent books category. There was a whole swathe of deletions a while back for books related to Islam and the politics of the terrorism/Islamophobia/Islamism etc. and there wasn\'t a clear book category for them despite [[WP:NBOOK]] and the intuitive feeling that with books, we can judge them in some kind of reasonably objective way (if they\'ve had reviews, become bestsellers etc.)\n\nAnybody got any other ideas of new deletion sorting categories? Ã¢&#x20AC;&#x201D;[[User:Tom Morris|Tom Morris]] ([[User talk:Tom Morris|talk]]) 20:41, 17 September 2011 (UTC)"
